MouseNum,Date Born,Sac Date / Time,Sex,SVL Length (cm),Hypothalamus weight(mg),Brain weight(mg),Liver weight(mg),Rt. Kidney weight(mg),Rt. Adipose weight(mg),Lt. Adipose + Right (Total Fat Weight in grams),Lt. Adipose weight(g),Total Liver Weight(g),Remaining Liver Weight(g),Soleus Weight(mg),Gastroc. Weight(mg),Spleen weight(mg),Heart weight(mg),number islets harvested,Sacrifice Weight,Gastroc 2 Weight(mg),Cage
Mouse3045,2005-07-18,2005-09-26,F,9.8,14.5,371,544,243,478,4.7756,2.464,2.707,1.75,8,105,60.2,195,320,57.7,NA,22
Mouse3046,2005-07-18,2005-09-26,F,9.5,16.5,400,511,194,697,4.781,2.371,3.069,2.21,9.1,117,64,153,310,56.3,NA,22
Mouse3047,2005-07-18,2005-09-26,F,9.7,12.2,338,431,231,710,5.534,2.621,3.346,2.27,9,104,61,194,610,60.2,NA,23
Mouse3049,2005-07-18,2005-09-27,M,NA,16.7,386,555,280,454,1.398,0.657,3.422,2.229,9.2,113,55.5,161,110,50.4,NA,24
Mouse3050,2005-07-18,2005-09-27,M,9.7,18,399,639,268,518,1.96,0.972,4.801,3.066,12.1,138,78.9,201,330,55.2,NA,24
Mouse3051,2005-07-18,2005-09-27,M,9.7,15.4,390,502,250,546,1.887,0.967,4.756,3.204,12.6,141.5,83,165,300,55.4,NA,25
Mouse3052,2005-07-18,2005-09-27,M,9.8,17.5,399,631,302,454,2.31,1.187,4.599,2.958,13,158.9,122,199,185,53.1,NA,25
Mouse3053,2005-07-18,2005-09-28,M,10.2,24.2,387,509,345,809,5.122,2.628,4.226,2.775,10,148,76.3,200,120,57.1,NA,26
Mouse3054,2005-07-18,2005-09-28,M,9.3,19,262,433,286,475,2.496,1.291,3.002,2,7.9,122,67.5,177,170,46.5,NA,26
Mouse3055,2005-07-18,2005-09-28,M,9.7,13.6,395,402,331,597,3.465,1.74,5.075,3.286,9,152,86,216,160,68,NA,27
Mouse3056,2005-07-18,2005-09-28,M,9.3,16,399,481,328,662,3.617,1.686,3.158,2.126,7.6,128,54.6,182,120,47.5,NA,27
Mouse3081,2005-08-29,2005-11-07,M,8.8,13.4,366,579,280,830,3.92,1.94,3.43,2.39,6.7,93.5,73.7,184,115,55.1,NA,36
Mouse3082,2005-08-29,2005-11-07,M,9.7,14.3,339,627,170,740,2.975,1.6,2.603,1.67,6,97.4,51.4,139,155,43.6,NA,36
Mouse3083,2005-08-29,2005-11-08,M,9.8,23.6,336,709,338,844,3.887,2,3.599,2.47,9.2,113,62.6,200,160,54.6,NA,37
Mouse3084,2005-08-29,2005-11-08,M,8.9,22.6,362,878,294,771,3.565,1.617,3.856,2.44,7.7,82.4,66.7,181,100,47.4,NA,37
Mouse3093,2005-09-11,2005-11-21,M,9.4,16.7,340,791,262,844,3.086,1.462,5.019,3.482,9.9,121,79.6,166,90,54.2,NA,42
Mouse3094,2005-09-11,2005-11-21,M,9.8,19.7,362,708,266,749,3.275,1.749,3.113,1.97,10.8,148,64.2,171,345,53.1,NA,42
Mouse3095,2005-09-11,2005-11-21,M,9.2,20.8,343,608,255,743,2.712,1.466,2.539,1.625,7.6,100,64,131,115,40.6,NA,43
Mouse3096,2005-09-11,2005-11-21,M,8.9,22.2,367,436,384,672,1.991,0.871,2.106,1.41,10.4,109,90.5,205,70,37,NA,43
Mouse3097,2005-09-11,2005-11-22,M,9.2,17.4,381,690,344,606,2.122,1.103,2.948,1.898,7.8,112,62,168,65,39.7,NA,44
Mouse3098,2005-09-11,2005-11-22,M,9.8,17.3,369,850,364,629,2.559,1.195,3.838,2.439,9.7,160,94.7,211,230,50,NA,44
Mouse3111,2005-09-29,2005-12-05,F,9.7,17.5,400,586,308,823,4.737,2.295,3.355,2.522,9,127,102,195,140,50.4,NA,51
Mouse3112,2005-09-29,2005-12-05,F,9.2,19.3,389,844,237,975,5.237,2.55,3.303,2.012,7.4,115,61.7,184,215,55.5,NA,51
Mouse3113,2005-09-29,2005-12-05,F,8.9,16.9,372,603,261,666,3.116,1.413,2.978,2.079,7,113,78.5,169,230,50.4,NA,52
Mouse3114,2005-09-29,2005-12-05,F,9.6,9.7,409,523,279,279,3.978,1.841,2.901,2.019,9.9,138,112,228,415,49.8,NA,52
Mouse3117,2005-09-29,2005-12-07,M,9.6,22.7,377,713,427,584,3.047,1.533,3.569,2.449,11.4,130,89.4,187,200,53.6,NA,54
Mouse3118,2005-09-29,2005-12-07,M,9.2,16.5,336,721,277,700,3.369,1.621,3.649,2.452,10,125,64.2,194,475,47.9,NA,54
Mouse3119,2005-09-29,2005-12-07,M,9.6,15.3,362,754,331,765,1.613,0.848,3.641,2.436,11.3,137,74.9,181,230,46.3,NA,55
Mouse3120,2005-09-29,2005-12-07,M,9.8,23.3,369,900,273,771,4.215,2.239,4.493,2.888,8.5,129,82.3,164,265,59.9,NA,55
Mouse3121,2005-10-13,2005-12-19,F,9,22.8,369,639,334,734,3.791,1.702,3.081,2.173,5.9,53,56.1,170,175,45.65,NA,56
Mouse3122,2005-10-13,2005-12-19,F,9.2,17.4,380,435,265,582,2.872,1.67,2.32,1.739,6.6,54,53.3,177,165,45.88,NA,56
Mouse3123,2005-10-13,2005-12-19,F,9.5,19.7,372,689,318,871,5.668,2.413,3.604,2.48,7.4,49.2,99.9,183,166,56.6,NA,57
Mouse3124,2005-10-13,2005-12-19,F,9.2,16.4,412,614,285,690,4.595,2.367,2.742,1.803,7.5,62.6,64,168,188,54.22,NA,57
Mouse3125,2005-10-13,2005-12-20,M,9.2,17.3,386,977,298,515,1.455,0.78,5.721,3.985,6.9,56,90.4,200,200,50.3,NA,58
Mouse3126,2005-10-13,2005-12-20,M,9.6,16.4,399,887,341,840,3.979,1.958,3.981,2.646,8,83.7,56.2,211,205,51.6,NA,58
Mouse3127,2005-10-13,2005-12-20,M,10,19.7,384,764,406,698,2.182,1.245,4.076,2.749,9.1,63.3,89.9,194,523,54.5,NA,59
Mouse3128,2005-10-13,2005-12-20,M,10,22.4,365,731,343,757,3.075,1.456,3.147,2.082,9.6,66.6,66.4,187,309,51.3,NA,59
Mouse3129,2005-10-13,2005-12-21,M,9.9,24.2,381,825,293,890,3.514,1.678,3.556,2.298,9.5,130,61.2,191,185,50.4,NA,60
Mouse3130,2005-10-13,2005-12-21,M,9.1,15.6,390,648,306,687,2.602,1.336,2.771,1.86,8.4,126,50.7,202,115,48.6,NA,60
Mouse3131,2005-10-13,2005-12-21,F,9.2,16.4,367,710,264,702,4.745,2.189,3.501,2.462,8.3,104,75.1,174,165,54.1,NA,61
Mouse3132,2005-10-13,2005-12-21,F,9.1,26.6,394,763,212,806,4.96,2.335,3.334,2.203,9.2,139,68.9,189,215,51.3,NA,61
Mouse3133,2005-10-13,2005-12-22,F,9.7,21.7,391,847,284,612,4.258,2.197,3.843,2.685,11.9,144,99.3,178,205,52.3,NA,62
