longid,platepos,mousenum,plate,well,strain
tid27838_Mouse3051_F2_Male,SMP4_0001628:H01,Mouse3051,1628,H01,F2
tid28271_Mouse3551_F2_Male,SMP4_0001631:B02,Mouse3551,1631,B02,F2
tid28161_Mouse3430_F2_Male,SMP4_0001630:B10,Mouse3430,1630,B10,F2
tid28203_Mouse3476_F2_Male,SMP4_0001633:F04,Mouse3476,1633,F04,F2
tid28149_Mouse3414_F2_Male,SMP4_0001630:F08,Mouse3414,1630,F08,F2
tid27885_Mouse3145_F2_Female,SMP4_0001628:H07,Mouse3145,1628,H07,F2
tid28085_Mouse3346_F2_Male,SMP4_0001632:B11,Mouse3346,1632,B11,F2
tid28372_Mouse3656_F2_Female,SMP4_0001634:F08,Mouse3656,1634,F08,F2
tid27981_Mouse3242_F2_Male,SMP4_0001629:B09,Mouse3242,1629,B09,F2
tid28158_Mouse3427_F2_Female,SMP4_0001630:G09,Mouse3427,1630,G09,F2
tid28250_Mouse3527_F2_Female,SMP4_0001633:E10,Mouse3527,1633,E10,F2
tid28020_Mouse3281_F2_Male,SMP4_0001632:A03,Mouse3281,1632,A03,F2
tid28141_Mouse3406_F2_Male,SMP4_0001630:F07,Mouse3406,1630,F07,F2
tid28253_Mouse3530_F2_Male,SMP4_0001633:H10,Mouse3530,1633,H10,F2
tid28204_Mouse3477_F2_Male,SMP4_0001633:G04,Mouse3477,1633,G04,F2
tid28225_Mouse3498_F2_Male,SMP4_0001633:D07,Mouse3498,1633,D07,F2
tid27979_Mouse3240_F2_Female,SMP4_0001629:H08,Mouse3240,1629,H08,F2
tid28249_Mouse3526_F2_Female,SMP4_0001633:D10,Mouse3526,1633,D10,F2
tid28025_Mouse3286_F2_Female,SMP4_0001632:F03,Mouse3286,1632,F03,F2
tid28023_Mouse3284_F2_Male,SMP4_0001632:D03,Mouse3284,1632,D03,F2
tid27899_Mouse3160_F2_Male,SMP4_0001628:F09,Mouse3160,1628,F09,F2
tid28371_Mouse3655_F2_Female,SMP4_0001634:E08,Mouse3655,1634,E08,F2
tid28333_Mouse3615_F2_Female,SMP4_0001631:H09,Mouse3615,1631,H09,F2
tid28218_Mouse3491_F2_Female,SMP4_0001633:E06,Mouse3491,1633,E06,F2
tid28321_Mouse3603_F2_Male,SMP4_0001631:D08,Mouse3603,1631,D08,F2
tid27930_Mouse3191_F2_Female,SMP4_0001629:E02,Mouse3191,1629,E02,F2
tid27870_Mouse3130_F2_Male,SMP4_0001628:A06,Mouse3130,1628,A06,F2
tid28070_Mouse3331_F2_Male,SMP4_0001632:C09,Mouse3331,1632,C09,F2
tid27938_Mouse3199_F2_Male,SMP4_0001629:E03,Mouse3199,1629,E03,F2
tid28332_Mouse3614_F2_Male,SMP4_0001631:G09,Mouse3614,1631,G09,F2
tid27969_Mouse3230_F2_Male,SMP4_0001629:D07,Mouse3230,1629,D07,F2
tid28295_Mouse3577_F2_Female,SMP4_0001631:B05,Mouse3577,1631,B05,F2
tid27843_Mouse3081_F2_Male,SMP4_0001628:F02,Mouse3081,1628,F02,F2
tid27943_Mouse3204_F2_Female,SMP4_0001629:B04,Mouse3204,1629,B04,F2
tid28237_Mouse3513_F2_Female,SMP4_0001633:H08,Mouse3513,1633,H08,F2
tid27958_Mouse3219_F2_Male,SMP4_0001629:A06,Mouse3219,1629,A06,F2
tid28010_Mouse3271_F2_Male,SMP4_0001632:G01,Mouse3271,1632,G01,F2
tid28130_Mouse3395_F2_Male,SMP4_0001630:A06,Mouse3395,1630,A06,F2
tid28040_Mouse3301_F2_Female,SMP4_0001632:E05,Mouse3301,1632,E05,F2
tid28230_Mouse3503_F2_Male,SMP4_0001633:A08,Mouse3503,1633,A08,F2
tid27845_Mouse3083_F2_Male,SMP4_0001628:H02,Mouse3083,1628,H02,F2
tid28288_Mouse3568_F2_Male,SMP4_0001631:C04,Mouse3568,1631,C04,F2
tid27928_Mouse3189_F2_Female,SMP4_0001629:C02,Mouse3189,1629,C02,F2
tid28026_Mouse3287_F2_Female,SMP4_0001632:G03,Mouse3287,1632,G03,F2
tid27871_Mouse3131_F2_Female,SMP4_0001628:B06,Mouse3131,1628,B06,F2
tid28050_Mouse3311_F2_Male,SMP4_0001632:G06,Mouse3311,1632,G06,F2
tid28063_Mouse3324_F2_Female,SMP4_0001632:D08,Mouse3324,1632,D08,F2
tid28098_Mouse3359_F2_Female,SMP4_0001630:A02,Mouse3359,1630,A02,F2
tid27888_Mouse3149_F2_Male,SMP4_0001628:C08,Mouse3149,1628,C08,F2
tid27995_Mouse3256_F2_Male,SMP4_0001629:H10,Mouse3256,1629,H10,F2
tid28360_Mouse3644_F2_Male,SMP4_0001634:B07,Mouse3644,1634,B07,F2
