from,to,curve,color
1634:2:2,1629:1:11,0.05,1
1632:4:9,1629:3:11,0.05,1
1632:6:3,1629:4:11,0,2
1632:7:1,1629:5:11,0,3
1632:8:2,1629:6:11,-0.05,2
1632:4:9,1632:5:1,0,2
1632:3:9,1632:7:1,0.05,1
1629:6:11,1632:8:2,-0.05,3
1630:3:9,1632:5:3,0.05,2
1632:7:3,1632:2:4,0,1
1632:5:1,1632:4:7,-0.1,3
1632:5:7,1632:6:7,0,2
1632:7:7,1632:8:7,0,1
1632:8:7,1632:1:8,0,3
1632:2:8,1632:3:8,0,2
1632:4:8,1632:5:8,0,1
1632:5:8,1632:6:8,0,3
1632:6:8,1632:7:8,0,2
1632:8:8,1632:1:9,0,1
1632:1:9,1632:2:9,0,3
1632:2:9,1632:3:9,0,2
1629:4:11,1632:5:9,0,1
1632:5:9,1632:6:9,0,3
1632:6:9,1632:7:9,0,2
1632:7:9,1632:8:9,0,1
1632:8:9,1632:1:10,0,3
1632:2:10,1632:3:10,0,2
1632:3:10,1632:4:10,0,1
1632:4:10,1632:5:10,0,3
1632:5:10,1632:6:10,0,2
1632:6:10,1632:7:10,0,1
1632:7:10,1632:8:10,0,3
1632:8:10,1632:1:11,0,2
1632:2:11,1632:3:11,0,1
1632:3:11,1632:4:11,0,3
1632:4:11,1632:5:11,0,2
1632:5:11,1632:6:11,0,1
1632:6:11,1630:1:1,0,3
1630:1:1,1630:2:1,0,2
1630:2:1,1630:3:1,0,1
1630:2:1,1630:4:1,1,3
1630:3:1,1630:5:1,-1,2
1630:4:1,1630:6:1,1,1
1630:5:1,1630:7:1,-1,3
1630:6:1,1630:8:1,1,2
1630:7:1,1630:1:2,0,1
1630:8:1,1630:2:2,0,3
1630:1:2,1630:3:2,-1,2
1630:3:2,1630:5:2,-1,1
1630:5:2,1630:7:2,1,3
1630:6:2,1630:8:2,-1,2
1630:7:2,1630:1:3,0,1
1630:8:2,1630:2:3,0,3
1630:1:3,1630:3:3,-1,2
1630:2:3,1630:4:3,1,1
1630:3:3,1630:5:3,-1,3
1630:6:3,1630:7:3,0,2
1630:7:3,1630:8:3,0,1
1630:8:3,1630:1:4,0,3
1630:1:4,1630:2:4,0,2
1630:3:4,1630:4:4,0,1
1630:4:4,1630:5:4,0,3
1630:5:4,1630:6:4,0,2
1630:6:4,1630:7:4,0,1
1630:8:4,1630:1:5,0,3
1630:1:5,1630:2:5,0,2
1630:2:5,1630:3:5,0,1
1630:4:5,1630:5:5,0,3
1630:5:5,1630:6:5,0,2
1630:6:5,1630:7:5,0,1
1630:7:5,1630:8:5,0,3
1630:8:5,1630:1:6,0,2
1630:1:6,1630:2:6,0,1
1630:2:6,1630:3:6,0,3
1630:3:6,1630:4:6,0,2
1630:4:6,1630:5:6,0,1
1630:5:6,1630:6:6,0,3
1630:6:6,1630:7:6,0,2
1630:7:6,1630:8:6,0,1
1630:8:6,1630:1:7,0,3
1630:2:7,1630:5:7,-1,2
1630:5:7,1630:6:7,0,1
1630:6:7,1630:7:7,0,3
1630:7:7,1630:8:7,0,2
1632:5:3,1630:3:9,0.05,1
1631:4:2,1631:2:3,0,3
1631:2:4,1631:5:3,0,2
1631:2:3,1631:2:4,0,1
1629:1:11,1634:2:2,0.05,3
